term,israel_relevance_tag,israeli_mapping_or_note,scope
avail,אין שום ראיה ישראלית,האובייקט הבסיסי מתואר בישראל כהזמנות וברייקים אך לא נמצא שימוש במונח avail,טבלת 16 המונחים
makegood / מייק גוד,"לישראל כבר יש את זה, באותו שם",בישראל זהו פנקס צבירה וניצול ברמות קמפיין מפרסם וסוכנות,טבלת 16 המונחים
affidavit,אין שום ראיה ישראלית,As Run חופף לחלק מן התפקיד הראייתי אך לא הוכח מסמך לקוח מקביל,טבלת 16 המונחים
As Run File,"לישראל כבר יש את זה, באותו שם",קובץ בדיעבד ממערכת השידור על מה ששודר בפועל,טבלת 16 המונחים
clash,אין שום ראיה ישראלית למילה הזאת,המנגנון כבר מוכר בשם competitive separation / הפרדה תחרותית,טבלת 16 המונחים
co-op invoicing,אין שום ראיה ישראלית,לא נמצאה מקבילה ישראלית למבנה החיוב המשותף האמריקאי,טבלת 16 המונחים
TIP standards,אין שום ראיה ישראלית,לא נמצא בישראל תקן פתוח מקביל ל-TV Interface Practices,טבלת 16 המונחים
GPR,אין שום ראיה ישראלית,בישראל נמצאו GRP ו-TRP אך לא GPR,טבלת 16 המונחים
Auto Fill / oversell management,אין שום ראיה ישראלית,לא נמצא מנגנון ישראלי מתועד למילוי אוטומטי של מלאי לא מכור או לניהול מכירת יתר,טבלת 16 המונחים
separation violations,המנגנון כבר נקרא בשם,competitive separation / הפרדה תחרותית,טבלת 16 המונחים
preferred position ranking,"כבר נקרא בשם, וכבר נמדד לעומק גדול יותר",בישראל תועדו מיקומים 1–5 ו-L וכן שיטת סוכנות ושיטת ערוץ,טבלת 16 המונחים
audience / line / spot trading models,"חצי ממופה, חצי לא נבדק",audience ממופה להזמנה מבוססת יעד; line לא נבדק; המקור לא נתן פסיקה נפרדת ל-spot,טבלת 16 המונחים
Mission Control,אין שום ראיה ישראלית,זהו שם פיצ'ר של ספק ולא אוצר מילים מקצועי מוכח בישראל,טבלת 16 המונחים
amortization schedules,אין שום ראיה ישראלית,מושג חשבונאי בשכבת זכויות ותכנון ולא במכירת פרסום,טבלת 16 המונחים
pre-emption,"לישראל כבר יש את זה, תחת preemptible",קמפיין שניתן לדחיקה בידי קמפיין בעדיפות גבוהה יותר,טבלת 16 המונחים
block booking,"לישראל כבר יש את זה, ובעל המוצר נקב בו ישירות",שמירת קיבולת מראש לפני הרכישה המפורטת,טבלת 16 המונחים
Top and Tail / Bookend,"לישראל כבר יש את זה, ובשם חד יותר",מקרה אישוש נוסף שהוצג בדף אך אינו שורה בטבלת 16 המונחים,נספח מדף המחקר
