campaign_id,broadcast_date,air_state,channel,spots,seconds,rating_points_planned,spend_ils,spots_dropped_by_rule,dropped_rule_id,figures_basis,source_file,counted_as_of,counted_as_of_basis,is_demo,note
CMP_D001,2025-04-27,aired,רשת 13,2,50,8.7000,6600.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D001,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D001,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D001,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D001,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D001,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D001,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D002,2025-04-27,aired,רשת 13,2,12,9.5000,1872.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D002,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D002,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D002,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D002,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D002,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D002,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D003,2025-04-27,aired,רשת 13,3,42,13.9000,7980.00,1,DEFAULT_ONE_PER_BREAK,"Sum of the planned break rating over each airing, all-viewers base, from the traffic file. Engine-priced per spot, the same ledger the money board reads. Nothing is invoiced.",Wally_Prime_Reshet_Example_2025-04-27.csv,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,
CMP_D003,2025-04-28,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D003,2025-04-29,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D003,2025-04-30,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D003,2025-05-01,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D003,2025-05-02,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
CMP_D003,2025-05-03,unknown,רשת 13,,,,,,,,,2025-04-27T22:59:00,"The start of the last programme booked on the newest sourced broadcast day, so the demo shows what has aired and what is still to come on that day.",true,"This flight day has no per-spot source, so what aired is unknown and is not zero."
